FlightNumber,Date,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,Block,ReusedCount,Serial,Longitude,Latitude,Class
1,2010-06-04,6104.959411764706,LEO,CCAFS SLC 40,1,False,False,False,1.0,0,B0003,-80.577366,28.5618571,0
2,2012-05-22,525.0,LEO,CCAFS SLC 40,1,False,False,False,1.0,0,B0005,-80.577366,28.5618571,0
3,2013-03-01,677.0,ISS,CCAFS SLC 40,1,False,False,False,1.0,0,B0007,-80.577366,28.5618571,0
4,2013-09-29,500.0,PO,VAFB SLC 4E,1,False,False,False,1.0,0,B1003,-120.610829,34.632093,0
5,2013-12-03,3170.0,GTO,CCAFS SLC 40,1,False,False,False,1.0,0,B1004,-80.577366,28.5618571,0
6,2014-01-06,3325.0,GTO,CCAFS SLC 40,1,False,False,False,1.0,0,B1005,-80.577366,28.5618571,0
7,2014-04-18,2296.0,ISS,CCAFS SLC 40,1,False,False,True,1.0,0,B1006,-80.577366,28.5618571,1
8,2014-07-14,1316.0,LEO,CCAFS SLC 40,1,False,False,True,1.0,0,B1007,-80.577366,28.5618571,1
9,2014-08-05,4535.0,GTO,CCAFS SLC 40,1,False,False,False,1.0,0,B1008,-80.577366,28.5618571,0
10,2014-09-07,4428.0,GTO,CCAFS SLC 40,1,False,False,False,1.0,0,B1011,-80.577366,28.5618571,0
11,2014-09-21,2216.0,ISS,CCAFS SLC 40,1,False,False,False,1.0,0,B1010,-80.577366,28.5618571,0
12,2015-01-10,2395.0,ISS,CCAFS SLC 40,1,True,False,True,1.0,0,B1012,-80.577366,28.5618571,0
13,2015-02-11,570.0,ES-L1,CCAFS SLC 40,1,True,False,True,1.0,0,B1013,-80.577366,28.5618571,1
14,2015-04-14,1898.0,ISS,CCAFS SLC 40,1,True,False,True,1.0,0,B1015,-80.577366,28.5618571,0
15,2015-04-27,4707.0,GTO,CCAFS SLC 40,1,False,False,False,1.0,0,B1016,-80.577366,28.5618571,0
16,2015-06-28,2477.0,ISS,CCAFS SLC 40,1,True,False,True,1.0,0,B1018,-80.577366,28.5618571,0
17,2015-12-22,2034.0,LEO,CCAFS SLC 40,1,True,False,True,1.0,0,B1019,-80.577366,28.5618571,1
18,2016-01-17,553.0,PO,VAFB SLC 4E,1,True,False,True,1.0,0,B1017,-120.610829,34.632093,0
19,2016-03-04,5271.0,GTO,CCAFS SLC 40,1,True,False,True,1.0,0,B1020,-80.577366,28.5618571,0
20,2016-04-08,3136.0,ISS,CCAFS SLC 40,1,True,False,True,2.0,1,B1021,-80.577366,28.5618571,1
21,2016-05-06,4696.0,GTO,CCAFS SLC 40,1,True,False,True,2.0,0,B1022,-80.577366,28.5618571,1
22,2016-05-27,3100.0,GTO,CCAFS SLC 40,1,True,False,True,2.0,1,B1023,-80.577366,28.5618571,1
23,2016-07-18,2257.0,ISS,CCAFS SLC 40,1,True,False,True,2.0,1,B1025,-80.577366,28.5618571,1
24,2016-08-14,4600.0,GTO,CCAFS SLC 40,1,True,False,True,2.0,0,B1026,-80.577366,28.5618571,1
25,2016-09-01,5500.0,GTO,CCAFS SLC 40,1,True,False,True,3.0,0,B1028,-80.577366,28.5618571,0
26,2017-01-14,9600.0,PO,VAFB SLC 4E,1,True,True,True,3.0,1,B1029,-120.610829,34.632093,1
27,2017-02-19,2490.0,ISS,KSC LC 39A,1,True,False,True,3.0,1,B1031,-80.6039558,28.6080585,1
28,2017-03-16,5600.0,GTO,KSC LC 39A,1,False,False,False,3.0,0,B1030,-80.6039558,28.6080585,0
29,2017-03-30,5300.0,GTO,KSC LC 39A,2,True,True,True,2.0,1,B1021,-80.6039558,28.6080585,1
30,2017-05-01,6104.959411764706,LEO,KSC LC 39A,1,True,False,True,3.0,1,B1032,-80.6039558,28.6080585,1
31,2017-05-15,6070.0,GTO,KSC LC 39A,1,False,False,False,3.0,0,B1034,-80.6039558,28.6080585,0
32,2017-06-03,2708.0,ISS,KSC LC 39A,1,True,False,True,3.0,1,B1035,-80.6039558,28.6080585,1
33,2017-06-23,3669.0,GTO,KSC LC 39A,2,True,True,True,3.0,1,B1029,-80.6039558,28.6080585,1
34,2017-06-25,9600.0,PO,VAFB SLC 4E,1,True,False,True,3.0,1,B1036,-120.610829,34.632093,1
35,2017-07-05,6761.0,GTO,KSC LC 39A,1,False,False,False,3.0,0,B1037,-80.6039558,28.6080585,0
36,2017-08-14,2910.0,ISS,KSC LC 39A,1,True,False,True,4.0,1,B1039,-80.6039558,28.6080585,1
37,2017-08-24,475.0,SSO,VAFB SLC 4E,1,True,False,True,3.0,1,B1038,-120.610829,34.632093,1
38,2017-09-07,4990.0,LEO,KSC LC 39A,1,True,False,True,4.0,1,B1040,-80.6039558,28.6080585,1
39,2017-10-09,9600.0,PO,VAFB SLC 4E,1,True,False,True,4.0,1,B1041,-120.610829,34.632093,1
40,2017-10-11,5200.0,GTO,KSC LC 39A,2,True,True,True,3.0,1,B1031,-80.6039558,28.6080585,1
41,2017-10-30,3700.0,GTO,KSC LC 39A,1,True,False,True,4.0,0,B1042,-80.6039558,28.6080585,1
42,2017-12-15,2205.0,ISS,CCAFS SLC 40,2,True,True,True,3.0,1,B1035,-80.577366,28.5618571,1
43,2017-12-23,9600.0,PO,VAFB SLC 4E,2,True,True,False,3.0,1,B1036,-120.610829,34.632093,1
44,2018-01-08,6104.959411764706,LEO,CCAFS SLC 40,1,True,False,True,4.0,1,B1043,-80.577366,28.5618571,1
45,2018-01-31,4230.0,GTO,CCAFS SLC 40,2,True,True,True,3.0,1,B1032,-80.577366,28.5618571,1
46,2018-03-06,6092.0,GTO,CCAFS SLC 40,1,True,False,True,4.0,0,B1044,-80.577366,28.5618571,0
47,2018-03-30,9600.0,PO,VAFB SLC 4E,2,True,True,True,4.0,1,B1041,-120.610829,34.632093,0
48,2018-04-02,2760.0,ISS,CCAFS SLC 40,2,True,True,True,4.0,1,B1039,-80.577366,28.5618571,0
49,2018-04-18,350.0,HEO,CCAFS SLC 40,1,True,False,True,4.0,1,B1045,-80.577366,28.5618571,1
50,2018-05-11,3750.0,GTO,KSC LC 39A,1,True,False,True,5.0,3,B1046,-80.6039558,28.6080585,1
51,2018-06-04,5383.85,GTO,CCAFS SLC 40,2,False,True,False,4.0,1,B1040,-80.577366,28.5618571,0
52,2018-06-29,2410.0,ISS,CCAFS SLC 40,2,False,True,False,4.0,1,B1045,-80.577366,28.5618571,0
53,2018-07-22,7076.0,GTO,CCAFS SLC 40,1,True,False,True,5.0,2,B1047,-80.577366,28.5618571,1
54,2018-07-25,9600.0,PO,VAFB SLC 4E,1,True,False,True,5.0,4,B1048,-120.610829,34.632093,1
55,2018-08-07,5800.0,GTO,CCAFS SLC 40,2,True,True,True,5.0,3,B1046,-80.577366,28.5618571,1
56,2018-09-10,7060.0,GTO,CCAFS SLC 40,1,True,False,True,5.0,5,B1049,-80.577366,28.5618571,1
57,2018-10-08,2800.0,SSO,VAFB SLC 4E,2,True,True,True,5.0,4,B1048,-120.610829,34.632093,1
58,2018-11-15,3000.0,GTO,KSC LC 39A,2,True,True,True,5.0,2,B1047,-80.6039558,28.6080585,1
59,2018-12-03,4000.0,SSO,VAFB SLC 4E,3,True,True,True,5.0,3,B1046,-120.610829,34.632093,1
60,2018-12-05,2573.0,ISS,CCAFS SLC 40,1,True,False,True,5.0,0,B1050,-80.577366,28.5618571,0
61,2018-12-23,4400.0,MEO,CCAFS SLC 40,1,False,False,False,5.0,0,B1054,-80.577366,28.5618571,0
62,2019-01-11,9600.0,PO,VAFB SLC 4E,2,True,True,True,5.0,5,B1049,-120.610829,34.632093,1
63,2019-03-02,12259.0,ISS,KSC LC 39A,1,True,False,True,5.0,5,B1051,-80.6039558,28.6080585,1
64,2019-05-04,2482.0,ISS,CCAFS SLC 40,1,True,False,True,5.0,3,B1056,-80.577366,28.5618571,1
65,2019-05-24,13620.0,VLEO,CCAFS SLC 40,3,True,True,True,5.0,5,B1049,-80.577366,28.5618571,1
66,2019-06-12,1425.0,SSO,VAFB SLC 4E,2,True,True,True,5.0,5,B1051,-120.610829,34.632093,1
67,2019-07-25,2227.7,ISS,CCAFS SLC 40,2,True,True,True,5.0,3,B1056,-80.577366,28.5618571,1
68,2019-08-06,6500.0,GTO,CCAFS SLC 40,3,False,True,False,5.0,2,B1047,-80.577366,28.5618571,0
69,2019-11-11,15600.0,VLEO,CCAFS SLC 40,4,True,True,True,5.0,4,B1048,-80.577366,28.5618571,1
70,2019-12-05,5000.0,ISS,CCAFS SLC 40,1,True,False,True,5.0,3,B1059,-80.577366,28.5618571,1
71,2019-12-17,6800.0,GTO,CCAFS SLC 40,3,True,True,True,5.0,3,B1056,-80.577366,28.5618571,1
72,2020-01-07,15400.0,VLEO,CCAFS SLC 40,4,True,True,True,5.0,5,B1049,-80.577366,28.5618571,1
73,2020-01-19,6104.959411764706,SO,KSC LC 39A,4,False,True,False,5.0,3,B1046,-80.6039558,28.6080585,0
74,2020-01-29,15600.0,VLEO,CCAFS SLC 40,3,True,True,True,5.0,5,B1051,-80.577366,28.5618571,1
75,2020-02-17,15400.0,VLEO,CCAFS SLC 40,4,True,True,True,5.0,3,B1056,-80.577366,28.5618571,0
76,2020-03-07,1977.0,ISS,CCAFS SLC 40,2,True,True,True,5.0,3,B1059,-80.577366,28.5618571,1
77,2020-03-18,15600.0,VLEO,KSC LC 39A,5,True,True,True,5.0,4,B1048,-80.6039558,28.6080585,0
78,2020-04-22,15400.0,VLEO,KSC LC 39A,4,True,True,True,5.0,5,B1051,-80.6039558,28.6080585,1
79,2020-05-30,9525.0,ISS,KSC LC 39A,1,True,False,True,5.0,2,B1058,-80.6039558,28.6080585,1
