FlightNumber,LaunchSite,Class
1,CCAFS SLC 40,0
2,CCAFS SLC 40,0
3,CCAFS SLC 40,0
4,VAFB SLC 4E,0
5,CCAFS SLC 40,0
6,CCAFS SLC 40,0
7,CCAFS SLC 40,1
8,CCAFS SLC 40,1
9,CCAFS SLC 40,0
10,CCAFS SLC 40,0
11,CCAFS SLC 40,0
12,CCAFS SLC 40,0
13,CCAFS SLC 40,1
14,CCAFS SLC 40,0
15,CCAFS SLC 40,0
16,CCAFS SLC 40,0
17,CCAFS SLC 40,1
18,VAFB SLC 4E,0
19,CCAFS SLC 40,0
20,CCAFS SLC 40,1
21,CCAFS SLC 40,1
22,CCAFS SLC 40,1
23,CCAFS SLC 40,1
24,CCAFS SLC 40,1
25,CCAFS SLC 40,0
26,VAFB SLC 4E,1
27,KSC LC 39A,1
28,KSC LC 39A,0
29,KSC LC 39A,1
30,KSC LC 39A,1
31,KSC LC 39A,0
32,KSC LC 39A,1
33,KSC LC 39A,1
34,VAFB SLC 4E,1
35,KSC LC 39A,0
36,KSC LC 39A,1
37,VAFB SLC 4E,1
38,KSC LC 39A,1
39,VAFB SLC 4E,1
40,KSC LC 39A,1
41,KSC LC 39A,1
42,CCAFS SLC 40,1
43,VAFB SLC 4E,1
44,CCAFS SLC 40,1
45,CCAFS SLC 40,1
46,CCAFS SLC 40,0
47,VAFB SLC 4E,0
48,CCAFS SLC 40,0
49,CCAFS SLC 40,1
50,KSC LC 39A,1
51,CCAFS SLC 40,0
52,CCAFS SLC 40,0
53,CCAFS SLC 40,1
54,VAFB SLC 4E,1
55,CCAFS SLC 40,1
56,CCAFS SLC 40,1
57,VAFB SLC 4E,1
58,KSC LC 39A,1
59,VAFB SLC 4E,1
60,CCAFS SLC 40,0
61,CCAFS SLC 40,0
62,VAFB SLC 4E,1
63,KSC LC 39A,1
64,CCAFS SLC 40,1
65,CCAFS SLC 40,1
66,VAFB SLC 4E,1
67,CCAFS SLC 40,1
68,CCAFS SLC 40,0
69,CCAFS SLC 40,1
70,CCAFS SLC 40,1
71,CCAFS SLC 40,1
72,CCAFS SLC 40,1
73,KSC LC 39A,0
74,CCAFS SLC 40,1
75,CCAFS SLC 40,0
76,CCAFS SLC 40,1
77,KSC LC 39A,0
78,KSC LC 39A,1
79,KSC LC 39A,1
80,CCAFS SLC 40,1
81,CCAFS SLC 40,1
82,CCAFS SLC 40,1
83,CCAFS SLC 40,1
84,CCAFS SLC 40,1
85,CCAFS SLC 40,1
86,KSC LC 39A,1
87,KSC LC 39A,1
88,KSC LC 39A,1
89,CCAFS SLC 40,1
90,CCAFS SLC 40,1
