FlightNumber,LaunchSite,Class,Latitude,Longitude
1,CCAFS SLC 40,0,28.5618571,-80.577366
2,CCAFS SLC 40,0,28.5618571,-80.577366
3,CCAFS SLC 40,0,28.5618571,-80.577366
4,VAFB SLC 4E,0,34.632093,-120.610829
5,CCAFS SLC 40,0,28.5618571,-80.577366
6,CCAFS SLC 40,0,28.5618571,-80.577366
7,CCAFS SLC 40,1,28.5618571,-80.577366
8,CCAFS SLC 40,1,28.5618571,-80.577366
9,CCAFS SLC 40,0,28.5618571,-80.577366
10,CCAFS SLC 40,0,28.5618571,-80.577366
11,CCAFS SLC 40,0,28.5618571,-80.577366
12,CCAFS SLC 40,0,28.5618571,-80.577366
13,CCAFS SLC 40,1,28.5618571,-80.577366
14,CCAFS SLC 40,0,28.5618571,-80.577366
15,CCAFS SLC 40,0,28.5618571,-80.577366
16,CCAFS SLC 40,0,28.5618571,-80.577366
17,CCAFS SLC 40,1,28.5618571,-80.577366
18,VAFB SLC 4E,0,34.632093,-120.610829
19,CCAFS SLC 40,0,28.5618571,-80.577366
20,CCAFS SLC 40,1,28.5618571,-80.577366
21,CCAFS SLC 40,1,28.5618571,-80.577366
22,CCAFS SLC 40,1,28.5618571,-80.577366
23,CCAFS SLC 40,1,28.5618571,-80.577366
24,CCAFS SLC 40,1,28.5618571,-80.577366
25,CCAFS SLC 40,0,28.5618571,-80.577366
26,VAFB SLC 4E,1,34.632093,-120.610829
27,KSC LC 39A,1,28.6080585,-80.6039558
28,KSC LC 39A,0,28.6080585,-80.6039558
29,KSC LC 39A,1,28.6080585,-80.6039558
30,KSC LC 39A,1,28.6080585,-80.6039558
31,KSC LC 39A,0,28.6080585,-80.6039558
32,KSC LC 39A,1,28.6080585,-80.6039558
33,KSC LC 39A,1,28.6080585,-80.6039558
34,VAFB SLC 4E,1,34.632093,-120.610829
35,KSC LC 39A,0,28.6080585,-80.6039558
36,KSC LC 39A,1,28.6080585,-80.6039558
37,VAFB SLC 4E,1,34.632093,-120.610829
38,KSC LC 39A,1,28.6080585,-80.6039558
39,VAFB SLC 4E,1,34.632093,-120.610829
40,KSC LC 39A,1,28.6080585,-80.6039558
41,KSC LC 39A,1,28.6080585,-80.6039558
42,CCAFS SLC 40,1,28.5618571,-80.577366
43,VAFB SLC 4E,1,34.632093,-120.610829
44,CCAFS SLC 40,1,28.5618571,-80.577366
45,CCAFS SLC 40,1,28.5618571,-80.577366
46,CCAFS SLC 40,0,28.5618571,-80.577366
47,VAFB SLC 4E,0,34.632093,-120.610829
48,CCAFS SLC 40,0,28.5618571,-80.577366
49,CCAFS SLC 40,1,28.5618571,-80.577366
50,KSC LC 39A,1,28.6080585,-80.6039558
51,CCAFS SLC 40,0,28.5618571,-80.577366
52,CCAFS SLC 40,0,28.5618571,-80.577366
53,CCAFS SLC 40,1,28.5618571,-80.577366
54,VAFB SLC 4E,1,34.632093,-120.610829
55,CCAFS SLC 40,1,28.5618571,-80.577366
56,CCAFS SLC 40,1,28.5618571,-80.577366
57,VAFB SLC 4E,1,34.632093,-120.610829
58,KSC LC 39A,1,28.6080585,-80.6039558
59,VAFB SLC 4E,1,34.632093,-120.610829
60,CCAFS SLC 40,0,28.5618571,-80.577366
61,CCAFS SLC 40,0,28.5618571,-80.577366
62,VAFB SLC 4E,1,34.632093,-120.610829
63,KSC LC 39A,1,28.6080585,-80.6039558
64,CCAFS SLC 40,1,28.5618571,-80.577366
65,CCAFS SLC 40,1,28.5618571,-80.577366
66,VAFB SLC 4E,1,34.632093,-120.610829
67,CCAFS SLC 40,1,28.5618571,-80.577366
68,CCAFS SLC 40,0,28.5618571,-80.577366
69,CCAFS SLC 40,1,28.5618571,-80.577366
70,CCAFS SLC 40,1,28.5618571,-80.577366
71,CCAFS SLC 40,1,28.5618571,-80.577366
72,CCAFS SLC 40,1,28.5618571,-80.577366
73,KSC LC 39A,0,28.6080585,-80.6039558
74,CCAFS SLC 40,1,28.5618571,-80.577366
75,CCAFS SLC 40,0,28.5618571,-80.577366
76,CCAFS SLC 40,1,28.5618571,-80.577366
77,KSC LC 39A,0,28.6080585,-80.6039558
78,KSC LC 39A,1,28.6080585,-80.6039558
79,KSC LC 39A,1,28.6080585,-80.6039558
80,CCAFS SLC 40,1,28.5618571,-80.577366
81,CCAFS SLC 40,1,28.5618571,-80.577366
82,CCAFS SLC 40,1,28.5618571,-80.577366
83,CCAFS SLC 40,1,28.5618571,-80.577366
84,CCAFS SLC 40,1,28.5618571,-80.577366
85,CCAFS SLC 40,1,28.5618571,-80.577366
86,KSC LC 39A,1,28.6080585,-80.6039558
87,KSC LC 39A,1,28.6080585,-80.6039558
88,KSC LC 39A,1,28.6080585,-80.6039558
89,CCAFS SLC 40,1,28.5618571,-80.577366
90,CCAFS SLC 40,1,28.5618571,-80.577366
